link,weight,sleeping capacity,price
https://www.rei.com/product/147180/big-agnes-bird-beak-sl-4-vestibule,9999,None,96.93
https://www.rei.com/product/147169/big-agnes-bird-beak-sl2-footprint,9999,None,44.93
https://www.rei.com/product/147260/msr-rendezvous-sun-shield-200-wing-shelter,6.625,8+ people,329.95
https://www.rei.com/product/128992/big-agnes-tumble-3-mtnglo-tent,6.125,3-person,299.95
https://www.rei.com/product/147298/msr-freelite-2-tent,2.9375,2-person,489.95
https://www.rei.com/product/129054/marmot-thor-2p-footprint,9999,None,65
https://www.rei.com/product/150050/big-agnes-fly-creek-hv-carbon-2-tent,1.4375,2-person,849.95
https://www.rei.com/product/132406/big-agnes-tumble-3-footprint,9999,None,50
https://www.rei.com/product/147297/msr-carbon-reflex-2-tent,2.1875,2-person,549.95
https://www.rei.com/product/147173/big-agnes-copper-spur-hv-ul1-bikepack-footprint,9999,None,65
https://www.rei.com/product/128994/big-agnes-tumble-4-mtnglo-tent,8.5,4-person,359.95
https://www.rei.com/product/147259/msr-rendezvous-sun-shield-120-wing-shelter,3.5625,4-person,229.95
https://www.rei.com/product/144624/nemo-tenshi-2-tent,5.875,2-person,699.95
https://www.rei.com/product/147139/big-agnes-fly-creek-hv-ul2-bikepack-tent,2.625,2-person,379.95
https://www.rei.com/product/147140/big-agnes-tiger-wall-ul-2-mtnglo-tent,2.6875,2-person,449.95
https://www.rei.com/product/150046/big-agnes-scout-2-platinum-tent,1.3125,2-person,449.95
https://www.rei.com/product/144636/nemo-rocket-2-footprint,9999,None,49.95
https://www.rei.com/product/147154/big-agnes-tiger-wall-ul3-mtnglo-tent,3.125,3-person,499.95
https://www.rei.com/product/147299/msr-thru-hiker-mesh-house-2-shelter,9999,None,199.95
https://www.rei.com/product/147156/big-agnes-bird-beak-sl3-tent,6.375,3-person,374.93
https://www.rei.com/product/150042/big-agnes-copper-spur-3-platinum-tent,3.25,3-person,699.95
https://www.rei.com/product/146629/caddis-rapid-umbrella,9.25,None,99.95
https://www.rei.com/product/147308/msr-universal-footprint-2-large,9999,None,39.95
https://www.rei.com/product/130101/msr-elixir-4-tent-with-footprint,9.375,4-person,399.95
https://www.rei.com/product/132678/big-agnes-copper-spur-hv2-expedition-footprint,9999,None,70
https://www.rei.com/product/150049/big-agnes-seedhouse-sl3-tent,4.4375,3-person,349.95
https://www.rei.com/product/132405/big-agnes-tumble-2-footprint,9999,None,40
https://www.rei.com/product/112558/msr-toughstake-snowsand-stakes-package-of-4-small-or-2-medium,9999,None,39.95
https://www.rei.com/product/147182/big-agnes-titan-6-mtnglo-vestibule,9999,None,179.95
https://www.rei.com/product/129532/nemo-losi-4-tent-footprint,9999,None,69.95
https://www.rei.com/product/129222/the-north-face-alpine-guide-3-footprint,9999,None,44.95
https://www.rei.com/product/129207/the-north-face-assault-3-tent,5.625,3-person,689
https://www.rei.com/product/148353/nemo-meldr-hammer,9999,None,49.95
https://www.rei.com/product/129221/the-north-face-alpine-guide-2-footprint,9999,None,44.95
https://www.rei.com/product/129514/nemo-apollo-3p-bikepacking-tent,1.6875,3-person,299.95
https://www.rei.com/product/116148/tepui-tents-explorer-series-autana-4-tent-with-annex,9999,4-person,2399.95
https://www.rei.com/product/151153/kelty-big-shady-shelter,15.0,None,249.95
https://www.rei.com/product/148056/rei-co-op-screen-house-rainfly,9999,None,99.95
https://www.rei.com/product/129516/nemo-losi-2-tent,5.5625,2-person,329.95
https://www.rei.com/product/147302/msr-freelite-3-tent,3.4375,3-person,589.95
https://www.rei.com/product/147955/rei-co-op-shell-bivy,9999,1-person,99.95
https://www.rei.com/product/147179/big-agnes-bird-beak-sl-3-vestibule,9999,None,89.93
https://www.rei.com/product/129531/nemo-chogori-3-tent,8.4375,3-person,849.95
https://www.rei.com/product/149176/the-north-face-golden-gate-4-tent,9.5,4-person,199.95
https://www.rei.com/product/139939/nemo-hornet-elite-1-tent,1.875,1-person,449.95
https://www.rei.com/product/147301/msr-carbon-reflex-3-tent,2.625,3-person,649.95
https://www.rei.com/product/128691/rei-co-op-half-dome-1-plus-tent,4.125,1-person,179
https://www.rei.com/product/147291/msr-thru-hiker-100-wing-shelter,1.25,3-person,189.95
https://www.rei.com/product/127194/rei-co-op-half-dome-1-plus-footprint,9999,None,29.95
